['0', '30-ВСГ', '76-XMA', '24:08:12', '1']
['452', '5-CQW', '80-МЛЭ', '23:30:29', '5']
['453', '17-ЬФЭ', '89-MWC', '21:54:55', '9']
['454', '13-LYN', '51-ЫНВ', '17:40:56', '8']
['455', '11-ЫЧП', '84-TYS', '18:13:03', '6']
['456', '23-ВЧЮ', '56-QBM', '3:29:40', '5']
['457', '35-ВГК', '51-ЪКЗ', '21:09:08', '4']
['458', '21-KOF', '84-ЩЪЩ', '19:17:56', '7']
['459', '7-XLG', '69-ЕХФ', '5:31:41', '1']
['460', '34-UGN', '53-AZK', '1:11:04', '8']
['461', '17-ЛЬЮ', '77-THB', '18:08:06', '6']
['462', '42-ВВШ', '89-QHY', '20:44:07', '6']
['463', '21-ЛЩА', '87-LXR', '23:44:38', '6']
['464', '5-ЫЬЦ', '78-ЧДП', '11:21:57', '7']
['465', '48-RHY', '63-ТПЛ', '3:42:20', '3']
['466', '11-RRX', '65-AHQ', '19:44:34', '6']
['467', '44-XAT', '80-VLQ', '15:37:58', '9']
['468', '17-ЛЗЭ', '51-ПГА', '8:53:35', '6']
['469', '7-PBE', '58-ЕДЗ', '14:34:00', '9']
['470', '34-ОМР', '85-XIX', '12:24:43', '4']
['471', '37-OMD', '77-ZSY', '19:12:05', '4']
['472', '26-OQX', '92-ЬЪТ', '1:33:07', '4']
['473', '16-ОЬЖ', '73-HBY', '7:41:57', '8']
['474', '24-ГЙЬ', '96-БНГ', '19:03:54', '6']
['475', '45-QKQ', '96-ЧФИ', '4:52:11', '4']
['476', '7-OTV', '61-POX', '21:58:07', '8']
['477', '15-УЙЫ', '98-FTB', '8:43:50', '2']
['478', '9-ИЧЦ', '68-KMX', '13:55:24', '3']
['479', '41-MXL', '86-ЬЮЭ', '15:07:25', '8']
['480', '19-ЕАФ', '82-ИЖП', '3:33:01', '3']
['481', '9-RTJ', '71-ГКЙ', '21:21:17', '7']
['482', '15-GGR', '58-LWE', '19:55:18', '7']
['483', '24-JMD', '61-ЗЩШ', '13:57:18', '4']
['484', '5-ИЦП', '81-MIW', '24:57:18', '5']
['485', '18-YDE', '67-WYJ', '1:09:17', '6']
['486', '32-ЫКР', '67-HZY', '17:18:36', '8']
['487', '39-КЕР', '63-EAY', '14:46:55', '1']
['488', '39-БФШ', '66-ХБИ', '14:40:04', '7']
['489', '30-XHV', '80-УЗМ', '12:39:41', '9']
['490', '16-ЛДО', '91-ФПЪ', '1:25:11', '1']
['491', '20-QGN', '81-ЙКЪ', '9:33:09', '3']
['492', '38-СНА', '71-CCO', '15:24:07', '9']
['493', '29-EIF', '98-РЙР', '11:01:10', '4']
['494', '26-ХШЧ', '92-ZZM', '3:46:24', '4']
['495', '40-UVP', '85-ROL', '14:48:08', '1']
['496', '19-PEO', '68-VSJ', '4:33:51', '3']
['497', '38-GTG', '70-ЛЕО', '3:13:50', '6']
['498', '39-ЩЬР', '90-СГЕ', '22:36:40', '2']
['499', '15-ZII', '94-OIC', '16:51:44', '4']
